epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4466,1.40835,1.41612,0.96184,0.39085,0.30676,0.29576,0.17132,1.32343,1.03876,0.91056,0.00332921,0.00332921,0.00332921
2,144.084,1.40947,1.12512,0.93343,0.42997,0.32649,0.31876,0.18391,1.33039,1.04152,0.91205,0.00661857,0.00661857,0.00661857
3,214.767,1.46783,1.14003,0.94462,0.41896,0.31664,0.30957,0.17783,1.37427,1.06723,0.92389,0.00986393,0.00986393,0.00986393
4,286.025,1.47003,1.14274,0.95155,0.38528,0.31742,0.29919,0.17236,1.36814,1.06128,0.92646,0.009802,0.009802,0.009802
5,356.879,1.43401,1.09702,0.94409,0.45495,0.32277,0.32978,0.193,1.32505,1.01231,0.92102,0.009736,0.009736,0.009736
6,426.464,1.40683,1.06314,0.93657,0.45322,0.33368,0.33756,0.19981,1.29721,0.98627,0.91298,0.00967,0.00967,0.00967
7,496.152,1.38451,1.03675,0.9318,0.45413,0.33668,0.34069,0.20128,1.30154,0.99397,0.91126,0.009604,0.009604,0.009604
8,565.623,1.36248,1.01448,0.92668,0.47061,0.34223,0.34965,0.20751,1.27787,0.96797,0.91458,0.009538,0.009538,0.009538
9,635.213,1.34537,0.99459,0.92066,0.46843,0.35831,0.36514,0.21614,1.25838,0.94429,0.90475,0.009472,0.009472,0.009472
10,704.699,1.33302,0.97469,0.91873,0.46613,0.3535,0.35835,0.21369,1.2545,0.94498,0.90298,0.009406,0.009406,0.009406
11,773.244,1.32405,0.96579,0.91867,0.47871,0.36406,0.3731,0.2237,1.24125,0.93101,0.90211,0.00934,0.00934,0.00934
12,842.817,1.31146,0.95341,0.91415,0.49512,0.36735,0.38014,0.22669,1.23998,0.92627,0.90105,0.009274,0.009274,0.009274
13,912.662,1.30382,0.9389,0.91311,0.47914,0.38205,0.38209,0.22841,1.22744,0.91467,0.89653,0.009208,0.009208,0.009208
14,982.404,1.28775,0.92032,0.90809,0.49591,0.38558,0.39283,0.23705,1.21406,0.8918,0.89408,0.009142,0.009142,0.009142
15,1051.66,1.28527,0.92105,0.90876,0.49351,0.37998,0.38744,0.23127,1.22624,0.90105,0.89561,0.009076,0.009076,0.009076
16,1120.55,1.26857,0.9001,0.90518,0.52013,0.37068,0.39315,0.23853,1.21134,0.89194,0.89217,0.00901,0.00901,0.00901
17,1189.91,1.27134,0.89876,0.90731,0.4927,0.38341,0.39794,0.23809,1.20545,0.88398,0.89222,0.008944,0.008944,0.008944
18,1259.23,1.26483,0.8852,0.90355,0.51165,0.38371,0.40223,0.24275,1.2015,0.87931,0.89015,0.008878,0.008878,0.008878
19,1328.45,1.25105,0.88064,0.9003,0.50948,0.39489,0.40481,0.24561,1.19938,0.87639,0.88778,0.008812,0.008812,0.008812
20,1397.77,1.23923,0.86726,0.90019,0.52551,0.39069,0.40717,0.24616,1.20159,0.87451,0.8914,0.008746,0.008746,0.008746
21,1467.06,1.24639,0.86947,0.89976,0.5122,0.40195,0.41235,0.25061,1.18868,0.86305,0.88789,0.00868,0.00868,0.00868
22,1536.37,1.23708,0.85568,0.89979,0.51634,0.39283,0.40752,0.24796,1.19956,0.86303,0.88916,0.008614,0.008614,0.008614
23,1605.64,1.23036,0.85142,0.895,0.52682,0.40105,0.41901,0.25306,1.18446,0.85335,0.88541,0.008548,0.008548,0.008548
24,1676.51,1.21805,0.8417,0.89478,0.53288,0.39771,0.41928,0.25406,1.18942,0.85359,0.88572,0.008482,0.008482,0.008482
25,1746.66,1.21872,0.83991,0.89454,0.53158,0.40218,0.4199,0.25497,1.18269,0.84877,0.8856,0.008416,0.008416,0.008416
26,1816.32,1.21631,0.83518,0.8958,0.53708,0.40551,0.42401,0.25663,1.17477,0.84527,0.88424,0.00835,0.00835,0.00835
27,1886.84,1.21072,0.82799,0.89217,0.54252,0.39803,0.42166,0.25544,1.17202,0.84366,0.88317,0.008284,0.008284,0.008284
28,1958.33,1.21022,0.82298,0.89166,0.52501,0.41106,0.42422,0.25723,1.17667,0.84095,0.88305,0.008218,0.008218,0.008218
29,2029.55,1.20704,0.82219,0.89047,0.53184,0.4113,0.42728,0.26076,1.16822,0.8386,0.88377,0.008152,0.008152,0.008152
30,2100.36,1.19907,0.81401,0.88968,0.53888,0.41457,0.43071,0.26309,1.16317,0.83142,0.88279,0.008086,0.008086,0.008086
31,2171.36,1.19984,0.80902,0.89027,0.55326,0.40883,0.43241,0.26195,1.16569,0.83205,0.88194,0.00802,0.00802,0.00802
32,2241.36,1.19739,0.80675,0.88716,0.52921,0.40986,0.42846,0.26083,1.16667,0.83479,0.88303,0.007954,0.007954,0.007954
33,2310.92,1.18847,0.80075,0.8873,0.54363,0.41242,0.42944,0.2628,1.15619,0.82675,0.88046,0.007888,0.007888,0.007888
34,2379.85,1.19354,0.80011,0.88723,0.54517,0.41873,0.43677,0.26569,1.16563,0.82382,0.88098,0.007822,0.007822,0.007822
35,2448.71,1.18327,0.79072,0.88588,0.55324,0.4122,0.43575,0.26714,1.15776,0.82545,0.88056,0.007756,0.007756,0.007756
36,2517.54,1.18047,0.78847,0.88548,0.53927,0.41861,0.43836,0.26915,1.15259,0.81908,0.87985,0.00769,0.00769,0.00769
37,2586.51,1.17849,0.78605,0.88473,0.53858,0.42189,0.43924,0.26802,1.15536,0.81737,0.87934,0.007624,0.007624,0.007624
38,2657.55,1.1719,0.77767,0.88394,0.55364,0.43126,0.44709,0.27323,1.15073,0.81593,0.87908,0.007558,0.007558,0.007558
39,2728.1,1.16801,0.7764,0.88412,0.55849,0.41827,0.44201,0.27036,1.1507,0.81505,0.87745,0.007492,0.007492,0.007492
40,2796.86,1.16057,0.76969,0.88303,0.55674,0.41979,0.44358,0.27108,1.14331,0.81139,0.87673,0.007426,0.007426,0.007426
41,2865.7,1.16778,0.76677,0.88068,0.54553,0.42863,0.44537,0.27477,1.1465,0.80744,0.87709,0.00736,0.00736,0.00736
42,2934.53,1.16113,0.7642,0.88099,0.55521,0.42573,0.44449,0.27413,1.14333,0.80703,0.87549,0.007294,0.007294,0.007294
43,3003.31,1.15416,0.75988,0.88031,0.55726,0.41936,0.44441,0.27272,1.14898,0.80479,0.87887,0.007228,0.007228,0.007228
44,3072.04,1.15478,0.76005,0.87865,0.55589,0.42093,0.44367,0.27431,1.14044,0.80744,0.87594,0.007162,0.007162,0.007162
45,3141.25,1.15647,0.75405,0.88056,0.56001,0.42594,0.44744,0.27485,1.14226,0.80418,0.87671,0.007096,0.007096,0.007096
46,3210.62,1.15292,0.75083,0.87704,0.53731,0.4336,0.4487,0.27684,1.14213,0.80316,0.87583,0.00703,0.00703,0.00703
47,3279.73,1.15806,0.74791,0.8792,0.55039,0.42236,0.44615,0.27357,1.14392,0.80227,0.87552,0.006964,0.006964,0.006964
48,3348.54,1.15697,0.7505,0.87889,0.55464,0.42772,0.44754,0.27529,1.13812,0.80253,0.87529,0.006898,0.006898,0.006898
49,3418.77,1.14766,0.74399,0.87673,0.56522,0.421,0.44618,0.27591,1.13563,0.80233,0.87451,0.006832,0.006832,0.006832
50,3487.64,1.14199,0.73762,0.87716,0.56691,0.42319,0.45161,0.27966,1.13462,0.79833,0.87405,0.006766,0.006766,0.006766
51,3556.55,1.13497,0.73022,0.87501,0.57551,0.42807,0.45424,0.27976,1.13944,0.79878,0.87479,0.0067,0.0067,0.0067
52,3625.58,1.13298,0.72673,0.87363,0.56847,0.42822,0.4512,0.27715,1.13593,0.79522,0.87507,0.006634,0.006634,0.006634
53,3694.41,1.13645,0.72574,0.87462,0.56503,0.42507,0.45188,0.27762,1.1361,0.79911,0.87492,0.006568,0.006568,0.006568
54,3763.69,1.13456,0.72614,0.87504,0.5637,0.42505,0.45099,0.27772,1.13202,0.79809,0.87446,0.006502,0.006502,0.006502
55,3832.66,1.12544,0.72098,0.87319,0.56798,0.43279,0.45592,0.27934,1.13598,0.79879,0.87453,0.006436,0.006436,0.006436
56,3901.6,1.1232,0.7179,0.87239,0.55435,0.43946,0.45719,0.28195,1.13173,0.79515,0.87336,0.00637,0.00637,0.00637
57,3970.85,1.13161,0.72112,0.87419,0.56093,0.43765,0.45556,0.28104,1.12574,0.79115,0.87258,0.006304,0.006304,0.006304
58,4039.69,1.12271,0.71425,0.87272,0.5623,0.43464,0.45336,0.27837,1.1354,0.79412,0.87463,0.006238,0.006238,0.006238
59,4108.73,1.12005,0.71036,0.87201,0.56473,0.4323,0.4566,0.28178,1.12738,0.79155,0.87337,0.006172,0.006172,0.006172
60,4177.86,1.11681,0.70591,0.87204,0.57424,0.42845,0.45455,0.2802,1.13043,0.79353,0.87408,0.006106,0.006106,0.006106
61,4246.85,1.11475,0.7018,0.86985,0.56628,0.43517,0.45685,0.28222,1.12919,0.79564,0.87373,0.00604,0.00604,0.00604
62,4315.71,1.11615,0.70172,0.87093,0.56458,0.43464,0.45627,0.28156,1.13275,0.79184,0.8741,0.005974,0.005974,0.005974
63,4384.61,1.1136,0.69713,0.86939,0.56362,0.43783,0.4566,0.28151,1.12917,0.79339,0.87229,0.005908,0.005908,0.005908
64,4453.45,1.10949,0.6946,0.8709,0.54872,0.43843,0.45481,0.28102,1.13006,0.79553,0.87339,0.005842,0.005842,0.005842
65,4522.22,1.11138,0.69269,0.86954,0.5656,0.43522,0.45718,0.28236,1.12621,0.79368,0.87311,0.005776,0.005776,0.005776
66,4591.12,1.10388,0.686,0.86822,0.55107,0.43867,0.45765,0.28196,1.12644,0.79095,0.87254,0.00571,0.00571,0.00571
